worker_id = gw1
2023-03-14 14:05:22.320224.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 14:05:22.358531.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 14:05:22.674129   'Sign up' form is opened
2023-03-14 14:05:22.674178   SIGNUP_HEADER =>
2023-03-14 14:05:22.702645   SIGNUP_REF_LOGIN =>
2023-03-14 14:05:22.729092   SIGNUP_INPUT_EMAIL =>
2023-03-14 14:05:22.798147   SIGNUP_INPUT_PASSWORD =>
2023-03-14 14:05:22.831346   SIGNUP_SUBMIT_BTN =>
2023-03-14 14:05:22.924028   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 14:05:28.490019   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 14:05:28.524591   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 14:05:28.785739.   'Sign up' form is closed
