worker_id = gw1
2023-03-14 13:36:49.420685.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 13:36:49.434068.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 13:36:49.621408   'Sign up' form is opened
2023-03-14 13:36:49.621453   SIGNUP_HEADER =>
2023-03-14 13:36:49.667772   SIGNUP_REF_LOGIN =>
2023-03-14 13:36:49.705794   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:36:49.727185   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:36:49.756267   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:36:49.775277   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:36:55.289800   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:36:55.320422   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:36:55.392814.   'Sign up' form is closed
