worker_id = gw1
2023-03-14 13:55:14.593291.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 13:55:14.622118.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 13:55:14.879529   'Sign up' form is opened
2023-03-14 13:55:14.879576   SIGNUP_HEADER =>
2023-03-14 13:55:14.900825   SIGNUP_REF_LOGIN =>
2023-03-14 13:55:14.915084   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:55:14.929575   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:55:14.945391   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:55:14.968926   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:55:20.495641   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:55:20.515582   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:55:20.596361.   'Sign up' form is closed
