worker_id = gw0
2023-03-14 14:05:21.470055.   BUT_CREATE_YOUR_ACCOUNT =>
2023-03-14 14:05:21.484738.   => BUT_CREATE_YOUR_ACCOUNT IS PRESENT
1 checking element(s) with current CSS locator is(are) present(s) on this page
2023-03-14 14:05:21.863638   'Sign up' form is opened
2023-03-14 14:05:21.863690   SIGNUP_HEADER =>
2023-03-14 14:05:22.112476   SIGNUP_REF_LOGIN =>
2023-03-14 14:05:22.152975   SIGNUP_INPUT_EMAIL =>
2023-03-14 14:05:22.184292   SIGNUP_INPUT_PASSWORD =>
2023-03-14 14:05:22.212021   SIGNUP_SUBMIT_BTN =>
2023-03-14 14:05:22.249040   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 14:05:27.788864   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 14:05:27.815750   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 14:05:27.941462.   'Sign up' form is closed
