worker_id = gw1
2023-03-14 13:33:49.622245.   VIDEO_BANNER =>
2023-03-14 13:33:49.632975.   => VIDEO_BANNER IS PRESENT
2023-03-14 13:33:49.857794   'Sign up' form is opened
2023-03-14 13:33:49.857842   SIGNUP_HEADER =>
2023-03-14 13:33:49.905326   SIGNUP_REF_LOGIN =>
2023-03-14 13:33:49.943233   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:33:49.981438   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:33:50.017191   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:33:50.043952   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:33:55.556635   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:33:55.574123   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:33:55.690941.   'Sign up' form is closed
