worker_id = gw1
2023-03-14 13:51:26.919299.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 13:51:26.929731.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 13:51:27.369077   'Sign up' form is opened
2023-03-14 13:51:27.369125   SIGNUP_HEADER =>
2023-03-14 13:51:27.399606   SIGNUP_REF_LOGIN =>
2023-03-14 13:51:27.461490   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:51:27.520037   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:51:27.553669   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:51:27.607202   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:51:33.155799   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:51:33.171942   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:51:33.289833.   'Sign up' form is closed
