worker_id = gw1
2023-03-14 13:59:35.087891.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 13:59:35.099938.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 13:59:35.378955   'Sign up' form is opened
2023-03-14 13:59:35.379002   SIGNUP_HEADER =>
2023-03-14 13:59:35.429023   SIGNUP_REF_LOGIN =>
2023-03-14 13:59:35.490323   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:59:35.512821   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:59:35.535614   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:59:35.565151   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:59:41.102330   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:59:41.118973   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:59:41.215241.   'Sign up' form is closed
