worker_id = gw0
2023-03-14 13:36:46.634257.   BUTTON_UNDER_VIDEO_BANNER =>
2023-03-14 13:36:46.644073.   => BUTTON_UNDER_VIDEO_BANNER IS PRESENT
2023-03-14 13:36:46.910799   'Sign up' form is opened
2023-03-14 13:36:46.910844   SIGNUP_HEADER =>
2023-03-14 13:36:46.940688   SIGNUP_REF_LOGIN =>
2023-03-14 13:36:46.964399   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:36:46.992475   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:36:47.036348   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:36:47.059181   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:36:52.583122   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:36:52.600289   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:36:52.680507.   'Sign up' form is closed
