worker_id = gw0
2023-03-14 14:08:25.619931.   VIDEO_BANNER =>
2023-03-14 14:08:25.644176.   => VIDEO_BANNER IS PRESENT
2023-03-14 14:08:26.053711   'Sign up' form is opened
2023-03-14 14:08:26.053758   SIGNUP_HEADER =>
2023-03-14 14:08:26.075211   SIGNUP_REF_LOGIN =>
2023-03-14 14:08:26.113084   SIGNUP_INPUT_EMAIL =>
2023-03-14 14:08:26.139089   SIGNUP_INPUT_PASSWORD =>
2023-03-14 14:08:26.172280   SIGNUP_SUBMIT_BTN =>
2023-03-14 14:08:26.217493   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 14:08:31.752282   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 14:08:31.793367   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 14:08:32.008588.   'Sign up' form is closed
