worker_id = gw1
2023-03-14 13:44:35.455817.   BUT_CREATE_YOUR_ACCOUNT =>
2023-03-14 13:44:35.471791.   => BUT_CREATE_YOUR_ACCOUNT IS PRESENT
1 checking element(s) with current CSS locator is(are) present(s) on this page
2023-03-14 13:44:35.713606   'Sign up' form is opened
2023-03-14 13:44:35.713652   SIGNUP_HEADER =>
2023-03-14 13:44:35.741500   SIGNUP_REF_LOGIN =>
2023-03-14 13:44:35.763572   SIGNUP_INPUT_EMAIL =>
2023-03-14 13:44:35.787451   SIGNUP_INPUT_PASSWORD =>
2023-03-14 13:44:35.820717   SIGNUP_SUBMIT_BTN =>
2023-03-14 13:44:35.849150   SIGNUP_PRIVACY_POLICY_ALL_2 =>
2023-03-14 13:44:41.407247   SIGNUP_PRIVACY_POLICY_ALL_1 =>
2023-03-14 13:44:41.425201   => SIGNUP_PRIVACY_POLICY_ALL
2023-03-14 13:44:41.571472.   'Sign up' form is closed
