"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 14 13:57:40 GMT 2023","Tue Mar 14 13:57:44 GMT 2023","3905","tests.Learn.us_05","us_05_learn_glossary_2_test","TestGlossaryItems","","","TC_05.01 with parameters: de, CYSEC, NoReg","
        Check: Header -> button [Log In]
        Language: All. License: All.
        "
"passed","Tue Mar 14 13:36:40 GMT 2023","Tue Mar 14 13:36:46 GMT 2023","6240","tests.Learn.us_05","us_05_learn_glossary_2_test","TestGlossaryItems","","","TC_05.03 with parameters: de, CYSEC, NoReg","
        Check: Video banner [Capital.com]
        Language: All. License: All.
        "
"passed","Tue Mar 14 13:58:37 GMT 2023","Tue Mar 14 13:58:45 GMT 2023","7850","tests.Learn.us_05","us_05_learn_glossary_2_test","TestGlossaryItems","","","TC_05.06 with parameters: de, CYSEC, NoReg","
        Check: Button [1. Create your accaunt] in block [Steps trading]
        Language: All. License: All.
        "
"failed","Tue Mar 14 13:36:55 GMT 2023","Tue Mar 14 13:37:00 GMT 2023","5029","tests.Learn.us_05","us_05_learn_glossary_2_test","TestGlossaryItems","","","TC_05.05 with parameters: de, CYSEC, NoReg","
        Check: Button [Create account] on vertical banner
        Language: All. License: All.
        "
"passed","Tue Mar 14 14:02:00 GMT 2023","Tue Mar 14 14:02:23 GMT 2023","23483","tests.Learn.us_05","us_05_learn_glossary_2_test","TestGlossaryItems","","","TC_05.05 with parameters: de, CYSEC, NoReg","
        Check: Button [Create account] on vertical banner
        Language: All. License: All.
        "
"passed","Tue Mar 14 13:52:33 GMT 2023","Tue Mar 14 13:52:40 GMT 2023","6253","tests.Learn.us_05","us_05_learn_glossary_2_test","TestGlossaryItems","","","TC_05.02 with parameters: de, CYSEC, NoReg","
        Check: Header -> button [Trade Now]
        Language: All. License: All.
        "
"failed","Tue Mar 14 13:53:47 GMT 2023","Tue Mar 14 13:53:52 GMT 2023","5082","tests.Learn.us_05","us_05_learn_glossary_2_test","TestGlossaryItems","","","TC_05.03 with parameters: de, CYSEC, NoReg","
        Check: Video banner [Capital.com]
        Language: All. License: All.
        "
"passed","Tue Mar 14 13:58:41 GMT 2023","Tue Mar 14 13:59:18 GMT 2023","37009","tests.Learn.us_05","us_05_learn_glossary_2_test","TestGlossaryItems","","","TC_05.05 with parameters: de, CYSEC, NoReg","
        Check: Button [Create account] on vertical banner
        Language: All. License: All.
        "
"passed","Tue Mar 14 13:56:08 GMT 2023","Tue Mar 14 13:56:14 GMT 2023","6114","tests.Learn.us_05","us_05_learn_glossary_2_test","TestGlossaryItems","","","TC_05.02 with parameters: de, CYSEC, NoReg","
        Check: Header -> button [Trade Now]
        Language: All. License: All.
        "
"passed","Tue Mar 14 13:26:50 GMT 2023","Tue Mar 14 13:26:56 GMT 2023","5900","tests.Learn.us_05","us_05_learn_glossary_2_test","TestGlossaryItems","","","TC_05.02 with parameters: de, CYSEC, NoReg","
        Check: Header -> button [Trade Now]
        Language: All. License: All.
        "
